date:2020/01/10 08:27:56,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/10 08:27:56,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/10 08:28:00,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/10 08:28:00,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/10 08:28:06,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/10 08:28:06,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/10 08:28:09,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/10 08:28:09,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/01/10 08:28:16,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/01/10 08:28:16,  ip:162.158.118.253,  hostname:162.158.118.253,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2020/01/10 12:50:51,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/10 12:50:51,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/10 12:50:56,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/10 12:50:57,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
