date:2019/11/01 07:42:58,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 07:43:08,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 07:43:09,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 07:47:07,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 07:47:07,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 07:47:13,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 07:47:19,  ip:162.158.118.25,  hostname:162.158.118.25,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/01 08:44:46,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/01 08:44:46,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/01 08:54:22,  ip:162.158.118.125,  hostname:162.158.118.125,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
